1.092516621871474601e-02,1.373191454379095629e-02,1.227126578757599222e-02,9.297782049125142417e-03,1.218916221728940340e-02,1.124223767596275146e-02,1.740431019876696739e-02,1.792264354962221085e-02,1.346660979718569684e-02,1.002042002113362820e-02,9.745950637841232708e-03,8.036168127624242555e-03,1.104864484233162442e-02,7.078718485977772250e-03,3.966198253287361343e-03,8.699105248167004686e-03,9.045839901295451430e-03,1.014654593649264198e-02,1.181082597269631287e-02,7.845060768157538500e-03,3.823506591187030706e-03,2.765060077586155123e-03,6.665206448205982653e-03,4.431877762002239818e-03,6.746923624345323861e-03,1.047896797610337223e-02,9.096534369258028538e-03,5.094969060041577152e-03,6.015375490453489342e-03,4.844094353686618365e-03,4.655188910656220778e-03,7.253089941139232409e-03,9.994333594576833291e-03,1.125374376326000736e-02,7.172951977812322757e-03,9.172154457961198548e-03,7.360309241857997814e-03,1.080550010549358002e-02,1.286769285724424956e-02,1.184172343047352333e-02,1.846439667361916490e-02,8.701792972336024057e-03,1.178239089516639436e-02,1.238693982265254637e-02,1.470325087051124746e-02,1.166671051838137456e-02,1.296743525949414950e-02,1.529512571331331956e-02,1.397020284375731676e-02
1.336019407222841307e-02,1.211964600650166854e-02,1.125955080833900349e-02,1.193070372206354174e-02,7.499114123111636637e-03,1.260998935916716503e-02,1.635862037055541007e-02,1.208301521258362682e-02,3.744497314253862359e-03,7.303300267751508881e-03,9.666994558232186105e-03,3.271261933188809781e-03,7.281449721871200570e-03,4.642020640726088679e-03,4.887818355621321824e-03,4.817484942144366344e-03,1.103885201054070290e-03,2.927653324631163210e-03,6.457351387658571973e-03,4.798246925678066252e-03,3.341570939246247488e-03,7.619766984057664387e-03,2.915834779333904662e-03,4.528946514647511079e-03,5.706202436636931101e-03,3.962135619570766529e-03,5.208012835618482106e-03,3.710086381617834581e-03,4.102142664669353872e-03,1.778967251874161073e-03,1.013436712924831173e-02,3.178201372315252703e-03,6.676578479306654983e-03,6.350023103052378475e-04,1.363587256673174991e-03,3.144721220667313910e-03,3.292295166743702817e-03,6.687567817740625378e-03,8.268719972791577222e-03,1.226019369732832091e-02,7.085869068623970070e-03,4.879226115468341882e-03,4.720996952535844345e-03,3.335964421831935558e-03,9.412242115162941167e-03,1.021576006855945060e-02,1.506325795880461213e-02,1.486131975922411544e-02,1.147368113201996560e-02
9.913916027080516696e-03,8.585447572467156535e-03,8.530723136365322284e-03,1.032194270501174578e-02,1.111485858830303305e-02,1.339622374453257499e-02,6.682929613939509253e-03,9.745717779194328079e-03,3.049470330945691730e-03,3.183609276146402624e-03,4.509140233911965341e-03,5.162300859921878371e-03,6.273591907032492754e-03,4.310234764630952765e-03,4.505830357252440035e-03,5.493967870975472942e-03,4.060136588414704761e-03,7.428510376045111864e-03,4.927818214797275061e-03,1.039165282678144314e-02,1.123529728607551743e-02,1.117583148572971752e-02,1.003902240463636422e-02,5.631209522393150306e-03,5.418939447590735529e-03,5.840290647446936059e-03,4.965246561790183366e-03,1.057521355343849639e-02,8.937857295106913305e-03,1.314855337581944360e-02,7.998542066883622750e-03,6.279525593234011605e-03,6.891221353443691307e-03,4.953528964195252730e-03,3.819822440848085962e-03,6.381653099797878446e-03,3.513343029036872667e-03,1.100996035515968774e-03,5.397432609293859908e-03,3.129510663803085693e-03,1.152577303608075428e-03,7.810802466028415230e-04,5.219538772949669676e-03,5.541848972928102926e-03,5.133190770252161680e-03,9.718125912426205104e-03,9.563413692090572127e-03,8.952079553647919116e-03,9.912441976279093292e-03
5.902531166989155066e-03,9.079237734687125791e-03,6.358445130024382649e-03,1.021165719429805926e-02,6.998823940997009850e-03,8.942637584615756655e-03,5.876039985825913525e-03,6.005638709213332802e-03,5.306778571359084887e-03,8.863747790319410555e-03,8.053338783397640324e-03,9.880431944031162553e-03,1.278294817094734019e-02,1.026227046132159593e-02,1.124023020185942016e-02,6.065734157633340118e-03,7.589358370365582862e-03,1.085158104155748912e-02,1.077669654265992968e-02,1.310073179531595286e-02,1.523761399199411413e-02,1.108933491347709882e-02,1.482951967962038362e-02,1.404182227138238599e-02,1.102863612992083242e-02,8.765036653778457074e-03,1.477579784280863735e-02,1.291817909872942233e-02,1.265079303281673416e-02,1.066474691962971018e-02,9.976251046970328884e-03,1.370059904440175391e-02,9.952380779632180249e-03,1.388793769149247043e-02,7.609220864298794733e-03,6.088547388405962484e-03,8.008964805868469539e-03,7.675169459666754228e-03,6.422277530701545750e-03,9.000214036349660565e-03,6.758588452339247057e-03,2.800864741553883534e-03,6.872894861869298204e-03,3.219173852287191429e-03,9.119911172532614574e-03,6.692012211293846789e-03,4.041425233371375575e-03,8.177626448113515384e-03,5.089181789633345603e-03
7.579848592673302070e-03,5.604162866083131633e-03,4.065931680433895919e-03,8.419960014620983882e-03,1.481701876757555297e-02,8.323556880589748005e-03,9.496726147153959630e-03,1.180232861369241194e-02,8.830243926418504183e-03,9.433572406127053306e-03,7.587272830015147698e-03,1.237426327634476124e-02,1.773397233065510462e-02,1.398804176533082963e-02,1.601252404372352153e-02,1.458934119561274868e-02,1.255231501954707021e-02,1.312936622348799195e-02,1.564216506597326806e-02,1.488262610435688374e-02,1.482738031301095161e-02,1.705611204199011105e-02,1.379294457470194371e-02,1.537680230321071539e-02,1.424427896389362201e-02,1.871799152668129906e-02,1.799930648779442255e-02,1.775009328330649436e-02,1.951781874508659587e-02,2.200706334562750610e-02,1.640381926638289842e-02,1.331385569008560789e-02,2.203611463552018757e-02,1.862731804940830418e-02,1.213978205724576195e-02,1.449428212412293658e-02,1.297650868813455746e-02,1.397336247012777484e-02,1.837056048334572561e-02,1.901693995913487922e-02,1.200076587171995494e-02,1.513744695125308036e-02,1.928812810068273112e-02,1.417501721945490720e-02,1.778795050567567176e-02,1.406838663431587109e-02,1.243462508400911860e-02,1.023047264341119846e-02,1.074004140615097448e-02
1.077244717057237317e-02,1.419470637938401517e-02,1.465029338658708179e-02,1.422939311589228005e-02,1.242146304021328820e-02,1.319941587953026886e-02,1.219449604713608755e-02,1.366815705167408884e-02,1.362300340558359087e-02,9.207867170287573760e-03,1.298911409785945097e-02,1.650351796332790583e-02,1.648191860182525101e-02,1.847218846673201118e-02,1.504905491335920345e-02,1.435727542922910285e-02,1.306200921362559754e-02,1.351437596722453692e-02,1.551034875294025027e-02,1.264328504171000588e-02,1.510362380395582731e-02,1.569991145462201407e-02,1.403036450130927190e-02,1.298563809374177896e-02,1.161936689154158438e-02,1.465810420035223473e-02,1.510280140427496497e-02,2.063099530704510381e-02,1.747755153149604251e-02,1.965473248911819501e-02,1.689953066287333203e-02,1.585845597735856607e-02,1.449244533820394538e-02,1.649668587934705402e-02,1.906085020622152668e-02,1.260583957351789526e-02,1.333231439132458000e-02,1.174779167417650677e-02,1.511818162587787000e-02,1.940037537043960009e-02,1.666508546870982058e-02,1.976097502374836445e-02,1.921723376918359899e-02,2.007384981775508712e-02,1.854093012168394825e-02,1.356442268220001829e-02,1.430382354153561172e-02,1.088928083695167755e-02,8.986482215242265481e-03
1.187645690472638980e-02,1.363402624728179274e-02,1.639576424374246388e-02,1.143311705842370643e-02,7.190866580922192913e-03,1.446058241349956926e-02,1.294299527237166743e-02,1.721304774886997513e-02,1.270435715482004339e-02,1.265407563107536978e-02,1.329730898134521937e-02,1.209546213559915123e-02,1.507689522780005127e-02,1.309056572571147374e-02,1.999836336229890432e-02,1.326144466164653167e-02,9.210042020668203142e-03,1.037267720026282918e-02,1.416994292444316919e-02,1.323661642408307561e-02,1.671032617560896938e-02,1.158986458131920812e-02,7.758041164121343494e-03,1.041218627111033246e-02,1.215491791469933483e-02,9.676189804318693216e-03,1.098418085923478019e-02,1.408055820943824275e-02,1.211708201208569306e-02,1.457554014436485829e-02,1.176340428522958982e-02,1.189335562654853309e-02,1.711136979593708141e-02,1.188765905446696400e-02,1.537140050936982617e-02,1.505842235669917900e-02,1.037162711034438772e-02,1.344510992447118386e-02,1.127421958324312939e-02,1.537827528792439988e-02,1.962724757874938566e-02,1.701685066663829668e-02,1.724443904685834389e-02,1.544561928591241251e-02,1.504738022050890536e-02,1.270226998455692077e-02,1.126280902631638693e-02,1.668031933224617402e-02,1.167909424163911074e-02
1.245876978779564964e-02,1.148306190142252617e-02,5.566245158770678075e-03,1.000540004624234439e-02,1.112528182719113232e-02,9.183367649171816569e-03,1.193745102837514248e-02,6.469936033892269116e-03,1.028516820029934213e-02,8.261491644221003947e-03,8.731796877282097663e-03,9.673261860874688214e-03,7.714314681401529712e-03,6.762027682425867867e-03,9.412002950912540591e-03,1.947012146190917579e-03,2.486465211915529164e-03,3.837224904656978859e-03,6.651792458309975162e-03,8.139057432729017438e-03,4.707149783424948060e-03,8.691131888141101838e-03,3.494392767066894188e-03,7.118248020479998536e-03,8.606258043892728304e-03,4.876440289486372488e-03,2.143948842761005200e-03,6.208065959437710293e-03,4.312981328476326454e-03,5.257197091229681707e-03,4.180713810342320119e-03,2.374705701715749701e-03,4.836916408673560402e-03,6.607576316442326757e-03,5.578954274421387208e-03,7.191095061292848180e-03,1.064921290383464376e-03,7.077953113656542186e-03,5.346255249580388752e-03,6.989090363513763247e-03,1.063826351653986840e-02,1.216862525849220916e-02,9.631222155881991390e-03,7.737428086472673827e-03,5.947340097161676886e-03,9.704372220673940230e-03,7.060227128264168900e-03,1.461654701206422866e-02,1.257923376172574367e-02
1.711637138749558251e-02,7.959911539206989892e-03,5.465950155885943712e-03,6.362887936446325228e-03,4.805050920120903894e-03,6.574464194925522253e-03,6.043464182481420727e-03,4.310184195785711318e-03,6.815070787368993251e-03,4.161210707528190805e-03,4.763904552483867912e-03,5.108489440471398850e-03,2.073628441143203233e-03,9.028070578306702024e-03,1.089849551792330430e-02,6.389631925655931896e-03,4.690757551279613365e-03,3.335074419869092123e-03,4.122103021568424355e-03,3.811948357651358190e-04,6.177047308870207802e-03,1.642869310838439767e-03,8.225462190441078930e-03,7.332592274884212370e-03,4.653772788689814442e-03,1.817194183173397731e-03,4.639554553847959409e-03,1.493710547632310683e-03,2.982133064539056050e-03,4.937089776913809736e-03,2.997605614132748102e-03,5.985276580038888759e-03,6.898219364462603899e-03,5.294422609359086644e-03,6.743835061455584652e-03,1.218298111045544758e-03,1.580724451458126456e-03,4.005197314914470640e-03,5.832135309047037537e-03,6.418583363377952135e-03,4.585708590987033588e-03,1.907630468333079785e-03,1.085573373432423272e-02,4.607655549744107439e-03,2.084456366402873042e-03,4.767129320802414305e-03,6.870464243951173236e-03,9.635018453958919468e-03,7.670752744416820153e-03
9.961260978054211832e-03,4.760598623147202675e-03,3.114980223100303255e-03,1.638332993898881105e-03,5.856094456366985924e-03,4.217380291265893956e-03,1.869644726789011953e-03,1.414530988666969471e-03,2.344290693258972973e-03,5.370316858324961432e-03,5.231937513885197288e-03,7.435904276043906608e-03,1.006421254398193708e-02,1.016184942527846059e-02,1.176210212396513674e-02,8.035523015809000955e-03,1.053692435168817991e-02,5.769335807276990483e-03,5.514393014231905830e-03,8.188828380213321323e-03,1.264271918105124883e-02,1.281944907353147964e-02,1.420577310079111991e-02,9.896018188430822510e-03,1.301944322788614605e-02,1.010774661809998171e-02,7.055441875763491209e-03,7.652555121153953310e-03,9.201635343975882175e-03,8.428849512084323273e-03,5.015740403376691726e-03,9.292383642154043027e-03,1.501156353681859339e-02,1.363928594964746582e-02,1.482040589714486885e-02,8.269338029677247848e-03,1.009187097193559382e-02,6.671234859237223751e-03,3.533826075647579241e-03,1.799359631068932295e-03,1.484936828975618470e-03,1.943366385628949970e-03,6.368880030647877839e-03,4.005423501419931760e-03,7.692766446673679351e-04,1.031091489317935168e-03,5.204577262275222535e-03,8.623901732696896000e-03,1.199216566434062325e-02
